IP,Country,City,Temp,Weather
122.35.203.161,South Korea,Seoul,17,Clear
174.217.10.111,United States,Atkinson,0,Clouds
187.121.176.91,Brazil,Santo Cristo,21,Clouds
176.114.85.116,United States,Lancaster,7,Clouds
174.59.204.133,United States,Lancaster,7,Clouds
54.209.112.174,United States,Chicago,10,Clouds
